company_name,experience,jdescp,job_description_link,job_title,keyskills,location,salary
,,N/A,,,,,
PPN Solutions Pvt Ltd,4-9 yrs,Looking for 3+ yrs of SD Consultant with S4 HANA Experience for Noida location. ;Candidate must have ...,https://www.naukri.com/job-listings-SAP-SD-Consultant-PPN-Solutions-Pvt-Ltd-Delhi-NCR-Noida-4-to-9-years-011018007324?src=jobsearchDesk&sid=15409049444103&xp=1&px=1,SAP SD Consultant,"SAP SD, S4 HANA","Delhi NCR, Noida",  Not disclosed 
Rapturous Consultants LLP,4-9 yrs,N/A,https://www.naukri.com/job-listings-Sales-Manager-Rapturous-Consultants-LLP-Delhi-NCR-4-to-9-years-301018006080?src=jobsearchDesk&sid=15409049444103&xp=2&px=1,Sales Manager,"business development, corporate tie - ups, institutional tie - ups...",Delhi NCR,"    3,00,000 - 8,00,000 P.A. intervew board will decide  "
PPN solutions pvt ltd,2-7 yrs,Looking for SAP Basis Consultant with 3+ yrs of experience;Domestic experience is must;S4 Hana ...,https://www.naukri.com/job-listings-SAP-Basis-Consultant-PPN-solutions-pvt-ltd-Delhi-NCR-Noida-2-to-7-years-250918005687?src=jobsearchDesk&sid=15409049444103&xp=3&px=1,SAP Basis Consultant,"SAP Basis, S4 Hana","Delhi NCR, Noida",  Not disclosed 
PMV Maltings Private Ltd,15-20 yrs,Should handle entire compliance/plant operations .Strong in;Should have experience in handling Labour/int ...,https://www.naukri.com/job-listings-Head-HR-PMV-Maltings-Private-Ltd-Gurgaon-Sohna-Road-15-to-20-years-110918003499?src=jobsearchDesk&sid=15409049444103&xp=4&px=1,"Head HR,","HR Generalist Activities, Recruitment, Employee Engagement...",Gurgaon(Sohna Road),  Not disclosed 
PMV Maltings Private Ltd,3-8 yrs,"Microsoft Dynamics NAVISION development & SQL Server environment.Undertake the design, coding, ...",https://www.naukri.com/job-listings-ERP-Technical-Consultant-PMV-Maltings-Private-Ltd-Gurgaon-South-City-2-1-3-to-8-years-101018004880?src=jobsearchDesk&sid=15409049444103&xp=5&px=1,ERP Technical Consultant,"Microsoft Dynamics Navision, SQL Server, NAV, Navision",Gurgaon(South City 2+1),"    3,25,000 - 5,00,000 P.A.  "
E. S. JOBS.,10-15 yrs,N/A,https://www.naukri.com/job-listings-General-Manager-Deputy-Manager-E-S-JOBS-Noida-10-to-15-years-301018006054?src=jobsearchDesk&sid=15409049444103&xp=6&px=1,General Manager & Deputy Manager,"event management, events, promotions",Noida,"    15,00,000 - 20,00,000 P.A.  "
Flexy Managers,3-6 yrs,Identify and develop new sales / reach out channels to get maximum traction amongst the student base and ...,https://www.naukri.com/job-listings-Business-Development-role-risk-Advisory-exp-Required-in-Gurgaon-Flexy-Managers-Gurgaon-3-to-6-years-301018006062?src=jobsearchDesk&sid=15409049444103&xp=7&px=1,Business Development role (risk Advisory exp. Required in Gurgaon),"business development management, sales, marketing collaterals...",Gurgaon,"    6,00,000 - 12,00,000 P.A.  "
Amazon Development Centre (India) Pvt. Ltd.,8-13 yrs,"Looking for strong technical and analytical candidates possessing 8+ years of Devops, implementation, ...",https://www.naukri.com/job-listings-Cloud-Architect-Amazon-Development-Centre-India-Pvt-Ltd-Delhi-NCR-Mumbai-Bengaluru-8-to-13-years-151018004730?src=jobsearchDesk&sid=15409049444103&xp=8&px=1,Cloud Architect,"Cloud Architect, AWS, cloud technical architect, cloud solution architect...","Delhi NCR, Mumbai, Bengaluru",  Not disclosed 
PMV Nutrient Products Pvt. Ltd.,2-7 yrs,Responsible for conducting microbiological tests for raw material and finished product as per test ...,https://www.naukri.com/job-listings-QA-Executive-microbiologist-PMV-Nutrient-Products-Pvt-Ltd-Gurgaon-Pace-city-I-2-2-to-7-years-221018006188?src=jobsearchDesk&sid=15409049444103&xp=9&px=1,QA Executive /microbiologist,"QA QC Executive, Microbiologist",Gurgaon(Pace city I+2),  Not disclosed 
PMV Maltings Private Ltd,2-5 yrs,Transferring all incoming and outgoing calls to the respective   departments or numbers. ...,https://www.naukri.com/job-listings-Front-Office-Exe-Receptionist-PMV-Maltings-Private-Ltd-Gurgaon-Sohna-Road-2-to-5-years-300818000548?src=jobsearchDesk&sid=15409049444103&xp=10&px=1,Front Office  Exe / Receptionist,"receptionist, front desk executive",Gurgaon(Sohna Road),  Not disclosed 
Hitachi Payment Services,0-1 yrs,Good communication and interpersonal skills;Good team player;Good in MS Office;Good in Hindi  &amp ...,https://www.naukri.com/job-listings-Urgent-Opening-for-Helpdesk-Executive-Gurgaon-Hitachi-Services-Gurgaon-0-to-1-years-290318003271?src=jobsearchDesk&sid=15409049444103&xp=11&px=1,Urgent Opening for Helpdesk Executive - @ Gurgaon,"Bpo, Voice, Semi voice, semi outbound, Tele Caller...",Gurgaon,"    1,25,000 - 1,50,000 P.A. Take Home 9.5 k+ incentives  "
One March India,4-9 yrs,N/A,https://www.naukri.com/job-listings-Senior-Profiles-in-Internal-Audit-dept-of-a-Bank-in-Delhi-gurgaon-One-March-India-Delhi-NCR-Gurgaon-Delhi-4-to-9-years-301018006042?src=jobsearchDesk&sid=15409049444103&xp=12&px=1,Senior Profiles in Internal Audit dept of a Bank in Delhi-gurgaon,"Internal Audit, audit manager, audit senior manager, Internal Auditor...","Delhi NCR, Gurgaon, Delhi","    7,00,000 - 17,00,000 P.A. Deputy Manager/manager/chief ...  "
Pisces Education,0-5 yrs,Requirement for 3D Max & V-Ray Faculty/Trainer at South ...,https://www.naukri.com/job-listings-Trainer-Faculty-Required-for-3D-Max-V-ray-Pisces-Education-Delhi-NCR-0-to-5-years-301018006015?src=jobsearchDesk&sid=15409049444103&xp=13&px=1,Trainer / Faculty Required for 3D Max / V-ray,"Photoshop, VRAY, 3DSmax, Sketchup, REVIT, 3D",Delhi NCR,"    1,50,000 - 2,50,000 P.A.  "
RSA Global,6-11 yrs,Good in database concepts and experience in MS SQL server preferred;Project Implementation experience ...,https://www.naukri.com/job-listings-IT-Manager-RSA-Global-Delhi-NCR-6-to-11-years-301018006025?src=jobsearchDesk&sid=15409049444103&xp=14&px=1,IT Manager,"Networking, WiFi, IT Management, software management, ERP...",Delhi NCR,  Not disclosed 
Nancy Impex Pvt. Ltd.,3-8 yrs,3+ yrs working experience as Packaging Designer to develop packaging for new or existing products ...,https://www.naukri.com/job-listings-Urgent-Hiring-for-Packaging-Designer-Developer-location-Delhi-Nancy-Impex-Pvt-Ltd-Delhi-3-to-8-years-301018006026?src=jobsearchDesk&sid=15409049444103&xp=15&px=1,Urgent Hiring for Packaging Designer/ Developer (location- Delhi),"Packaging Design, packaging development design, Packaging Development...",Delhi,"    3,50,000 - 8,00,000 P.A.  "
ienergizer (A unit of Granada Services Pri. Ltd.),0-5 yrs,N/A,https://www.naukri.com/job-listings-Urgent-Hiring-for-Customer-Care-Executive-domestic-Inbound-Process-ienergizer-A-unit-of-Granada-Services-Pri-Ltd-Noida-Sector-60-Noida-0-to-5-years-301018003871?src=jobsearchDesk&sid=15409049444103&xp=16&px=1,Urgent Hiring for Customer Care Executive |domestic Inbound Process,"Customer Care, Inbound Process, Customer Satisfaction, customer service...",Noida(Sector-60 Noida),"    1,00,000 - 2,50,000 P.A.  "
NaviSite India Private Limited,6-10 yrs,"Experience with server-side architectures and web application development utilizing: Spring, Hibernate, ...",https://www.naukri.com/job-listings-Urgent-Hiring-for-Full-Stack-Java-Developer-Profile-NaviSite-India-Private-Limited-Gurgaon-6-to-10-years-301018006020?src=jobsearchDesk&sid=15409049444103&xp=17&px=1,Urgent Hiring for Full Stack Java Developer Profile,"Java Developer, Full Stack Developer, full stack coding, Javascript",Gurgaon,  Not disclosed 
JGS Management Consultants,4-6 yrs,N/A,https://www.naukri.com/job-listings-Sr-executive-Front-Office-Excel-is-Must-female-only-5-days-Working-JGS-Management-Consultants-Gurgaon-4-to-6-years-301018006005?src=jobsearchDesk&sid=15409049444103&xp=18&px=1,Sr.executive Front Office Excel is Must (female only )  5 days Working,"excel powerpoint, communication skills, ms excel, ms office...",Gurgaon,"    6,00,000 - 6,50,000 P.A.  "
RG Stone( A Unit of RG Scientific Enterprises  Private Limited ),2-7 yrs,Candidate should have good communication skill;EXPERIENCE : 2-8 ...,https://www.naukri.com/job-listings-Requirement-of-Senior-Executive-Asm-manager-Sales-Marketing-Delhi-RG-Stone-A-Unit-of-RG-Scientific-Enterprises-Private-Limited-Delhi-NCR-Delhi-2-to-7-years-301018005990?src=jobsearchDesk&sid=15409049444103&xp=19&px=1,Requirement of Senior Executive/ Asm/manager- Sales & Marketing- Delhi,"sales promotion, marketing initiatives, lead generation, sales & marketing,...","Delhi NCR, Delhi","    3,75,000 - 5,00,000 P.A.  "
Graviton Research Capital,2-5 yrs,Must possess excellent oral and written communication skills along with high accuracy in a multitasking ...,https://www.naukri.com/job-listings-Back-Office-Associate-Graviton-Research-Capital-Delhi-NCR-2-to-5-years-301018005985?src=jobsearchDesk&sid=15409049444103&xp=20&px=1,Back Office Associate,"Reconciliation, Derivatives, Currency, Trade Processing, Back Office, Stock...",Delhi NCR,  Not disclosed 
Armaan Placement Services,1-6 yrs,N/A,https://www.naukri.com/job-listings-Technical-Sales-Executive-Technical-Support-in-Gurgaon-Location-Armaan-Placement-Services-Delhi-NCR-Gurgaon-Noida-1-to-6-years-301018005984?src=jobsearchDesk&sid=15409049444103&xp=21&px=1,Technical Sales Executive / Technical Support in Gurgaon Location,"technical sales, technical sales executive, technical sales associate...","Delhi NCR, Gurgaon, Noida","    2,00,000 - 5,00,000 P.A. incentives +cab+meal-9720754072  "
Mbit Computraining Pvt. Ltd.,0-2 yrs,Should have excellent communication skills;Good interpersonal and team coordination skills;5 ...,https://www.naukri.com/job-listings-IT-Recruiter-Mbit-Computraining-Pvt-Ltd-Delhi-NCR-0-to-2-years-301018005976?src=jobsearchDesk&sid=15409049444103&xp=22&px=1,"IT Recruiter,","IT Recruitment, C2H, Hiring, Interviewing, Sourcing, Mapping, Placement...",Delhi NCR,  Not disclosed 
Infotachus Pvt. Ltd.,3-6 yrs,Experience over JSON APIs in client-side frameworks and Knowledge of cross-browser & devices issues ...,https://www.naukri.com/job-listings-Urgent-Opening-for-the-of-React-js-Developer-for-Gurgaon-Infotachus-Pvt-Ltd-Gurgaon-Sohna-Road-3-to-6-years-301018005966?src=jobsearchDesk&sid=15409049444103&xp=23&px=1,Urgent Opening for the job of React.js Developer for Gurgaon,"Grunt, Javascript, JQuery, JSON, React.Js, Html5, Rest, Oauth, DOM, Github",Gurgaon(Sohna Road),  Not disclosed 
Concentrix Daksh Services India Private Limited.,0-3 yrs,"Our 100,000+ staff deliver technology-infused, omni-channel customer experience management, marketing ...",https://www.naukri.com/job-listings-One-Day-Walk-in-Assistant-Manager-Finance-Mba-ca-ca-Inter-ONLY-Concentrix-Daksh-Services-India-Private-Limited-Gurgaon-Cyber-City-0-to-3-years-230818004433?src=jobsearchDesk&sid=15409049444103&xp=24&px=1,One Day Walk-in Assistant Manager Finance - Mba/ca/ca Inter ONLY,"Accounting, Corporate Finance, Auditing, Budgeting, Banking...",Gurgaon(Cyber City),"    4,00,000 - 5,50,000 P.A. Retention Bonus Over & Above CTC  "
WSNE Consulting Pvt Ltd,0-2 yrs,N/A,https://www.naukri.com/job-listings-Hiring-for-Customer-Service-Day-Shift-WSNE-Consulting-Pvt-Ltd-Gurgaon-0-to-2-years-110918003533?src=jobsearchDesk&sid=15409049444103&xp=25&px=1,Hiring for Customer Service Day Shift,"Customer Service, customer service executive, cse, cca, Voice Process...",Gurgaon,"    2,50,000 - 3,00,000 P.A.  "
MBL Infrastructures Limited,3-8 yrs,Carrying out Rate Analysis for various projects as per the material rates and rates obtained from market. ...,https://www.naukri.com/job-listings-Manager-Tender-Business-Development-MBL-Infrastructures-Limited-Delhi-NCR-3-to-8-years-301018005960?src=jobsearchDesk&sid=15409049444103&xp=26&px=1,Manager- Tender & Business Development,"estimation, finance, tendering, road estimator, rate analysis...",Delhi NCR,"    3,00,000 - 8,00,000 P.A.  "
OculusIT,12-18 yrs,"2) Total IT experience 12-15 yrs, with minimum last 8 year in DC Operations and Cloud Administration;In ...",https://www.naukri.com/job-listings-Sr-Manager-AWS-Cloud-and-Datacenter-Operations-OculusIT-Gurgaon-12-to-18-years-100918006584?src=jobsearchDesk&sid=15409049444103&xp=27&px=1,Sr. Manager - AWS Cloud and Datacenter Operations,"People Management Skills, 24X7, Data Center Operations, ITIL Certified...",Gurgaon,"    27,50,000 - 35,00,000 P.A.  "
ALIGHT HR SERVICES INDIA PRIVATE LIMITED,0-2 yrs,You should demonstrate good  written & verbal communication;0  - 2 years work experience in back ...,https://www.naukri.com/job-listings-Mega-Walk-in-for-Team-Member-at-Alight-wipro-Organization-day-Shifts-ALIGHT-HR-SERVICES-INDIA-PRIVATE-LIMITED-Gurgaon-0-to-2-years-301018005948?src=jobsearchDesk&sid=15409049444103&xp=28&px=1,Mega Walk-in for Team Member at Alight (wipro Organization)-day Shifts,"back office, non voice, backend, transaction processing, claims processing,...",Gurgaon,  Not disclosed 
OCULUSIT,10-18 yrs,* Primarily hands-on experience in a complex network environment;Problem solving and project management ...,https://www.naukri.com/job-listings-Sr-Manager-Network-Security-US-MNC-Gurgaon-OCULUSIT-Gurgaon-10-to-18-years-150518008622?src=jobsearchDesk&sid=15409049444103&xp=29&px=1,Sr. Manager - Network Security | US MNC | Gurgaon,"Networking, Switching, Ccdp, Spanning Tree, Ccie, Routing Protocols, OSPF...",Gurgaon,"    25,00,000 - 37,50,000 P.A.  "
SunilVision Consulting Pvt. Ltd.,2-7 yrs,N/A,https://www.naukri.com/job-listings-Work-FROM-Home-PART-TIME-Direct-Consumers-SunilVision-Consulting-Pvt-Ltd-Delhi-NCR-2-to-7-years-301018005938?src=jobsearchDesk&sid=15409049444103&xp=30&px=1,Work FROM Home - PART TIME - Direct Consumers,"Part Time, work from home, home based",Delhi NCR,"    90,000 - 1,25,000 P.A.  "
Expert Staffing Solutions,1-6 yrs,N/A,https://www.naukri.com/job-listings-International-Bpo-s-customer-Service-travel-sales-collections-adwords-Expert-Staffing-Solutions-Gurgaon-Noida-1-to-6-years-301018005939?src=jobsearchDesk&sid=15409049444103&xp=31&px=1,International Bpo's/customer Service/travel/sales/collections/adwords,"international bpo, voice process, us process, uk process, america process...","Gurgaon, Noida","    2,00,000 - 7,00,000 P.A.  "
Innovative  Logic Lab Pvt. Ltd.,1-6 yrs,- Ability to learn and become proficient in all job-related software applications;with 1 to 6 years of ...,https://www.naukri.com/job-listings-RPA-Automation-Anywhere-Innovative-Logic-Lab-Pvt-Ltd-Delhi-NCR-Bengaluru-Hyderabad-1-to-6-years-301018005916?src=jobsearchDesk&sid=15409049444103&xp=32&px=1,RPA - Automation Anywhere,"aa, automation anywhere","Delhi NCR, Bengaluru, Hyderabad",  Not disclosed 
Biostadt India Limited,9-14 yrs,"o	You should acquire computer proficiency and continuously upgrade the knowledge, ...",https://www.naukri.com/job-listings-Regional-Sales-Manager-Seeds-Biostadt-India-Limited-Delhi-9-to-14-years-301018005922?src=jobsearchDesk&sid=15409049444103&xp=33&px=1,Regional Sales Manager - Seeds,"Regional Sales, Sales Management, Promotions, Training, Business Planning...",Delhi,  Not disclosed 
M/S.Smart Solution,1-2 yrs,N/A,https://www.naukri.com/job-listings-Field-Executive-Required-For-Foreign-Exchange-Co-In-Cp-M-S-Smart-Solution-Delhi-NCR-Connaught-Place-3-1-to-2-years-301018005915?src=jobsearchDesk&sid=15409049444103&xp=34&px=1,Field Executive Required For Foreign Exchange Co. In Cp,"foreign exchange, collection executive",Delhi NCR(Connaught Place+3),"    1,50,000 - 1,75,000 P.A.  "
Talent India,0-1 yrs,N/A,https://www.naukri.com/job-listings-Chemical-Engineer-fresher-Ghaziabad-Noida-Talent-India-Ghaziabad-Noida-0-to-1-years-301018005911?src=jobsearchDesk&sid=15409049444103&xp=35&px=1,"Chemical Engineer (fresher), Ghaziabad / Noida","Chemical Engineering, DET, diploma engineer trainee, Fresher...","Ghaziabad, Noida","    1,25,000 - 1,50,000 P.A. Best in the industry...  "
IPE Global Limited,6-10 yrs,"Masters Degree in relevant field, preferably social science, political science or communications with at ...",https://www.naukri.com/job-listings-Communication-Mobilization-Strategist-IPE-Global-Limited-Delhi-NCR-Defence-Colony-6-to-10-years-301018005902?src=jobsearchDesk&sid=15409049444103&xp=36&px=1,Communication & Mobilization Strategist,"management consulting, fund management, Marketing Communication...",Delhi NCR(Defence Colony),"    6,00,000 - 11,00,000 P.A.  "
,,N/A,,,,,
,,N/A,,,,,
Gardex,7-12 yrs,Marketing/ Sales experience a must in Industrial sales;Proven experience in appointing Industrial ...,https://www.naukri.com/job-listings-Sr-Manager-Industrial-Sales-Gardex-Gurgaon-7-to-12-years-301018005899?src=jobsearchDesk&sid=15409049444103&xp=37&px=1,Sr. Manager- Industrial Sales,Industrial Sales,Gurgaon,"    7,00,000 - 10,00,000 P.A.  "
SHORTLIST PROFESSIONAL SERVICES PRIVATE LIMITED,10-15 yrs,  SLF is looking for a dynamic COO with proven leadership and general management experience ...,https://www.naukri.com/job-listings-Chief-Operating-Officer-at-Leading-NGO-SHORTLIST-PROFESSIONAL-SERVICES-PRIVATE-LIMITED-Delhi-NCR-10-to-15-years-230818007145?src=jobsearchDesk&sid=15409049444103&xp=38&px=1,Chief Operating Officer at Leading NGO,"leadership, general management, planning, execution, stakeholder management...",Delhi NCR,"    25,00,000 - 27,50,000 P.A.  "
AMO mobility solutions pvt ltd,0-4 yrs,Sales Manager for 2 Wheeler Electric Scooters  Profile- 1.	Channel Sales/ Distributor &amp ...,https://www.naukri.com/job-listings-Sales-Manager-for-2-Wheeler-Electric-Scooters-EV-Industry-Preferred-AMO-mobility-solutions-pvt-ltd-Noida-Sector-63-Noida-0-to-4-years-301018005876?src=jobsearchDesk&sid=15409049444103&xp=39&px=1,Sales Manager for 2 Wheeler Electric Scooters (EV Industry Preferred),"channel sales, dealer network, distribution, institutional sales...",Noida(Sector-63 Noida),"    2,00,000 - 4,50,000 P.A. Incentives, Bonus  "
Aspiring Mantra,0-5 yrs,N/A,https://www.naukri.com/job-listings-Hiring-For-Adwords-in-Blended-Voice-Process-Sal-Upto-32K-Aspiring-Mantra-Delhi-NCR-Gurgaon-0-to-5-years-220918003222?src=jobsearchDesk&sid=15409049444103&xp=40&px=1,Hiring For Adwords in Blended/ Voice Process/ Sal Upto 32K,"Blended Process, Google AdWords, Voice Process, international bpo, customer...","Delhi NCR, Gurgaon",  Not disclosed 
Kailash Healthcare Limited,2-7 yrs, Experience                  Minimum 2 Years post DM / DNB;Should know Routine Gastrointestinal ...,https://www.naukri.com/job-listings-Consultant-Gastroenterologist-Kailash-Healthcare-Limited-Greater-Noida-Noida-2-to-7-years-280818006304?src=jobsearchDesk&sid=15409049444103&xp=41&px=1,Consultant Gastroenterologist,"Gastroenterology, Endoscopy, Gastro, Consultant Gastroenterologist...","Greater Noida, Noida",  Not disclosed 
Kailash Healthcare Limited,2-7 yrs,"  URGENT REQUIREMENT OF CONSULTANT UROLOGIST AT KAILASH HOSPITAL, NOIDA; ; Experience ...",https://www.naukri.com/job-listings-Consultant-Urologist-Kailash-Healthcare-Limited-Noida-2-to-7-years-280818005556?src=jobsearchDesk&sid=15409049444103&xp=42&px=1,Consultant Urologist,"Urology, uro, Urologist, Consultant Urologist, senior consultant urologist,...",Noida,  Not disclosed 
Kailash Healthcare Limited,12-22 yrs, Qualification          : MBBS with either MHA or Master degree in hospital administration with ...,https://www.naukri.com/job-listings-Medical-Superintendent-Kailash-Healthcare-Limited-Greater-Noida-12-to-22-years-020918001209?src=jobsearchDesk&sid=15409049444103&xp=43&px=1,"Medical Superintendent,","medical superintendent, deputy medical superintendent, ms...",Greater Noida,  Not disclosed 
Blue Apple Technologies Pvt. Ltd.,2-3 yrs,"Job Summary  	Development of brand awareness, online reputation and promotion of the product. ...",https://www.naukri.com/job-listings-Product-Marketing-Manager-Blue-Apple-Technologies-Pvt-Ltd-Delhi-NCR-Sector-58-Noida-2-to-3-years-301018005800?src=jobsearchDesk&sid=15409049444103&xp=44&px=1,Product Marketing Manager,"Product Marketing, Brand Awareness, Product Awareness, Market Research...",Delhi NCR(Sector-58 Noida),"    2,50,000 - 4,00,000 P.A. Best in the Industry  "
Provision Soft Private Limited,0-2 yrs,"looking for fresh graduate , MBA / MCA with 0-1 years of experience in car rental operation management ...",https://www.naukri.com/job-listings-Operation-Executive-Trainee-car-Rental-Industry-Provision-Soft-Private-Limited-Delhi-NCR-Kirti-Nagar-1-Delhi-0-to-2-years-301018005817?src=jobsearchDesk&sid=15409049444103&xp=45&px=1,Operation Executive Trainee - car Rental Industry,"Sales, Onboarding, Customer Handling, Car Rental, vehicle rental...","Delhi NCR(Kirti Nagar+1), Delhi","    1,50,000 - 2,50,000 P.A. Inventive, Esoap, Bonus, Annua...  "
AMPLE RECRUITERS & TRAINERS,0-3 yrs,N/A,https://www.naukri.com/job-listings-Hiring-For-Chat-Email-Executive-AMPLE-TRAINERS-Gurgaon-0-to-3-years-301018005804?src=jobsearchDesk&sid=15409049444103&xp=46&px=1,Hiring For Chat & Email Executive,"email, chat, backend, back office, back office executive, blended process...",Gurgaon,"    2,50,000 - 3,50,000 P.A.  "
PMS Consulting,3-8 yrs,N/A,https://www.naukri.com/job-listings-Urgent-Opening-for-Sr-Relationship-Manager-leading-Bank-delhi-PMS-Consulting-Delhi-NCR-3-to-8-years-301018005803?src=jobsearchDesk&sid=15409049444103&xp=47&px=1,Urgent Opening for Sr. Relationship Manager -leading Bank -delhi,"HNI, Wealth Management, portfolio management, investment management...",Delhi NCR,"    7,00,000 - 12,00,000 P.A.  "
IndiaMART InterMESH Ltd,1-3 yrs,N/A,https://www.naukri.com/job-listings-Hiring-for-Executive-Sr-executive-business-Delivery-IndiaMART-InterMESH-Ltd-Noida-Sector-142-Noida-1-to-3-years-011018004767?src=jobsearchDesk&sid=15409049444103&xp=48&px=1,Hiring for Executive/ Sr.executive-business Delivery,"sales, client servicing, client retention, upsell, dotcom...",Noida(Sector-142 Noida),  Not disclosed 
PMS Consulting,4-9 yrs,N/A,https://www.naukri.com/job-listings-Sr-Relationship-Manager-for-Leading-Bank-Delhi-ncr-PMS-Consulting-Delhi-NCR-4-to-9-years-301018005755?src=jobsearchDesk&sid=15409049444103&xp=49&px=1,Sr. Relationship Manager for Leading Bank - Delhi/ncr,"Cross Selling, Relationship Management, wealth management, priority banking...",Delhi NCR,"    8,00,000 - 12,00,000 P.A.  "
Harnam Singh Charitable Medical Centre,2-4 yrs,"Daily entries with respect to cash deposits, petty cash, supplier payment, customer receipts.  Bank ...",https://www.naukri.com/job-listings-Accountant-Harnam-Singh-Charitable-Medical-Centre-Delhi-Karol-Bagh-2-to-4-years-301018005756?src=jobsearchDesk&sid=15409049444103&xp=50&px=1,Accountant,"Banking, Creditors Reconciliation, Petty Cash, Accounts Executive...",Delhi(Karol Bagh),  Not disclosed 
